Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1640145600000,17.86400000,18.62800000,17.59700000,17.84800000,39133.50000000,1640159999999,703249.76030000,3377,12808.90000000,230470.11260000,0
1640160000000,17.84800000,18.56000000,17.84700000,18.14500000,60308.30000000,1640174399999,1097710.67010000,4467,29429.00000000,536060.73350000,0
1640174400000,18.12800000,18.34000000,17.34900000,17.57300000,65512.60000000,1640188799999,1165390.69760000,4138,33144.80000000,590856.60240000,0
1640188800000,17.49200000,18.28700000,17.30100000,18.01600000,22215.80000000,1640203199999,394133.06980000,1459,10695.00000000,189956.33420000,0
1640203200000,18.12200000,18.33000000,17.86200000,18.01800000,11975.50000000,1640217599999,216296.59780000,558,8766.40000000,158319.92630000,0
1640217600000,18.01600000,18.44400000,17.82900000,18.26300000,23037.40000000,1640231999999,418087.31920000,761,17810.80000000,323228.65450000,0
1640232000000,18.24300000,18.42800000,18.05200000,18.18100000,16968.10000000,1640246399999,308880.56560000,462,14492.50000000,263908.01470000,0
1640246400000,18.28300000,19.28900000,18.08900000,18.98300000,17776.90000000,1640260799999,330234.64480000,863,14731.60000000,273755.52120000,0
1640260800000,18.99200000,20.00000000,18.67800000,19.42500000,21712.50000000,1640275199999,414106.12770000,1068,17934.20000000,341926.00410000,0
1640275200000,19.41000000,20.55000000,18.66300000,20.48000000,47873.30000000,1640289599999,940553.84160000,4191,25319.00000000,494884.54290000,0
1640289600000,20.48000000,20.75000000,19.60900000,20.16200000,12673.10000000,1640303999999,256463.52370000,1405,5853.80000000,118677.36590000,0
1640304000000,20.17500000,21.00000000,20.00100000,20.18400000,17372.90000000,1640318399999,352134.33390000,931,12694.80000000,257429.36580000,0
1640318400000,20.15300000,22.70000000,20.08800000,21.95700000,20145.00000000,1640332799999,437267.39420000,1748,9044.50000000,194712.88740000,0
1640332800000,21.96000000,22.95000000,21.62800000,21.91200000,19706.40000000,1640347199999,435929.46860000,1588,9663.20000000,214539.43420000,0
1640347200000,22.03800000,22.49400000,21.42000000,21.79600000,29343.90000000,1640361599999,640659.28210000,1535,22460.10000000,490252.69790000,0
1640361600000,21.79400000,21.79700000,21.25600000,21.36000000,7920.70000000,1640375999999,169849.64460000,518,4397.70000000,94475.71760000,0
1640376000000,21.30700000,21.58700000,21.17200000,21.20000000,3854.00000000,1640390399999,82014.66190000,282,1143.10000000,24338.03880000,0
1640390400000,21.19800000,21.62400000,20.84200000,21.01500000,6385.00000000,1640404799999,134703.32180000,522,3530.30000000,74510.48180000,0
1640404800000,20.94500000,22.06100000,20.52400000,20.77100000,13074.90000000,1640419199999,276069.61410000,1100,10376.60000000,218928.52440000,0
1640419200000,20.77100000,20.77100000,20.24900000,20.31600000,11546.00000000,1640433599999,236513.31570000,610,7977.50000000,163450.61020000,0
1640433600000,20.37500000,20.41300000,20.11500000,20.22200000,12898.00000000,1640447999999,261795.74620000,413,11570.90000000,234890.42150000,0
1640448000000,20.20300000,20.34100000,20.09200000,20.18100000,11523.80000000,1640462399999,232751.14940000,410,10661.00000000,215351.06940000,0
1640462400000,20.18100000,20.51000000,20.09200000,20.41300000,15517.10000000,1640476799999,314673.53560000,441,13566.50000000,275228.90750000,0
1640476800000,20.41200000,20.54600000,20.00000000,20.11600000,6636.50000000,1640491199999,134449.93790000,546,2923.50000000,59383.20450000,0
1640491200000,20.13300000,20.43700000,20.02700000,20.26600000,1604.10000000,1640505599999,32433.60500000,185,1017.50000000,20585.94150000,0
1640505600000,20.22000000,20.54600000,19.99600000,20.07200000,19783.80000000,1640519999999,400011.28150000,778,7969.10000000,161668.02710000,0
1640520000000,20.08600000,20.59100000,20.08600000,20.40200000,3240.60000000,1640534399999,66313.44300000,343,1519.20000000,31112.93830000,0
1640534400000,20.47500000,20.74000000,20.40300000,20.64900000,2270.00000000,1640548799999,46777.20050000,249,1487.30000000,30697.01670000,0
1640548800000,20.68800000,20.74000000,20.40000000,20.50300000,1765.70000000,1640563199999,36264.86410000,206,934.00000000,19214.66970000,0
1640563200000,20.43100000,22.59000000,20.12200000,21.17000000,20695.40000000,1640577599999,438020.92880000,1839,8492.90000000,179407.37150000,0
1640577600000,21.17400000,22.22300000,21.00600000,21.50600000,15231.30000000,1640591999999,326093.95900000,1779,6416.50000000,137677.58680000,0
1640592000000,21.62000000,22.01400000,21.53600000,21.76600000,7948.70000000,1640606399999,173095.26910000,599,3044.60000000,66422.76910000,0
1640606400000,21.77300000,23.64400000,21.59100000,22.95500000,34501.40000000,1640620799999,775037.14670000,2743,10590.10000000,237869.84760000,0
1640620800000,22.95500000,23.99100000,22.95500000,23.34200000,46495.10000000,1640635199999,1085470.15360000,4055,15752.80000000,368254.54970000,0
1640635200000,23.35100000,25.74500000,23.00000000,23.69400000,137484.70000000,1640649599999,3338936.75440000,12874,64174.10000000,1569733.81600000,0
1640649600000,23.76400000,25.09200000,23.18000000,23.86800000,47485.90000000,1640663999999,1136733.15700000,3927,19230.50000000,461553.79340000,0
1640664000000,23.95500000,24.68700000,23.23300000,24.25000000,23155.10000000,1640678399999,552716.96190000,1982,11529.40000000,275493.49020000,0
1640678400000,24.44000000,25.99800000,23.93800000,24.85000000,52663.70000000,1640692799999,1304924.22520000,4641,23457.00000000,585578.43270000,0
1640692800000,24.95000000,25.03100000,23.02500000,23.48900000,56099.10000000,1640707199999,1344723.76950000,3395,25430.10000000,607540.94370000,0
1640707200000,23.47700000,23.65400000,22.10400000,22.44300000,58740.40000000,1640721599999,1343157.14350000,1698,21783.30000000,495007.53190000,0
